"通汇金融代号","总单位名称","帐号长度","地址","电话"
"012","台北富邦商业银行","存款类12位\n放款类14位","台北市仁爱路四段１６９号","02 27716699"
"通汇金融代号","支单位名称","地址","电话"
"0127185","嘉义分行","嘉义市仁爱路３９５号","05 2231688"
"0127196","苓雅分行","高雄市中华四路３９号","07 3318822"
"0127211","板桥分行","台北县板桥市文化路一段２６６号","02 22549999"
"0127222","北台中分行","台中市文化路四段３３３号","04 22426222"
"0127233","三民分行","高雄市三民区大顺二路５３０号","03 3871299"
"0127244","建国分行","台北市建国北路二段１９６号","02 25151775"
"0127255","新竹分行","新竹市中正路１４１号","03 5278988"
"0127266","新店分行","台北县新店市北新路二段２６６号","02 29129977"
"0127277","天母分行","台北市天母东路３６号","02 28763232"
"0127288","汐止分行","台北县汐止市大同路一段１７５号","02 26411689"
"0127303","永康分行","台南县永康市大湾路８５６号","06 2736099"
"0127314","襄阳分行","台北市襄阳路９号","02 23885889"
"0127336","五股分行","台北县新庄市化成路４４５","02 85213399"
"0127347","新营分行","台南县新营市民治路３０１号","06 6569889"
"0127358","屏东分行","屏东县屏东市和平路４５９号","08 7336899"
"0127369","前镇分行","高雄市保泰路２８９号","07 7170055"
"0127370","敦南分行","台北市敦化南路一段１０８号","02 87719898"
"0127381","保生分行","台北县永和市保生路３号","02 89230888"
"0127392","员林分行","彰化县彰化市员林镇莒光路５９６号","04 8369189"
"0127406","罗东分行","宜兰县宜兰市罗东镇兴东路２８６号","03 9566611"
"0127417","瑞湖分行","台北市内湖区瑞湖街６２号","02 26591088"
"0127428","基和简易型分行","台北市基隆路二段１７２之１号","02 66388988"
"0127439","南昌简易型分行","台北市和平西路一段６５号","02 66305678"
"0127451","花莲简易型分行","花莲县花莲市林森路２５６号","03 8353838"
"0127462","竹北分行","新竹县竹北市光明六路２６３号","03 5586199"
"0127473","南台中分行","台中市文心路一段２７２号１楼","04 36009868"
"0127484","博爱分行","高雄市博爱二路４５０号１楼","07 8628668"
"0127495","芦洲分行","台北县芦洲市三民路７１号１楼","02 82821799"
"0127509","华江分行","台北县板桥市双十路二段１１０号１楼","02 22530598"
"0127510","大直简易型分行","台北市中山区明水路６０２号１楼","02 85093878"
"0127521","树林分行","台北县树林市文化街２７号","02 26838186"
