"通汇金融代号","总单位名称","帐号长度","地址","电话"
"009","彰化商业银行","支存类14位\n存款类14位","台中市自由路二段３８号","04 22222001"
"通汇金融代号","支单位名称","地址","电话"
"0095289","建国分行","台北市仁爱路三段１３６号","02 27033737"
"0095296","内湖分行","台北市文德路１００号","02 26590766"
"0095307","天母分行","台北市中山北路六段８８号","02 28743232"
"0095314","中正分行","台北市金山南路一段４７号","02 23560000"
"0095321","仁和分行","台北市仁爱路四段３１号","02 27514066"
"0095338","永春分行","台北市忠孝东路五段１∣２及１∣４号","02 27682322"
"0095352","木栅分行","台北市文山区木新路三段４８号","02 86617377"
"0095369","新湖分行","台北市内湖区新湖二路１８０号","02 27931616"
"0095376","东湖分行","台北市民权东路六段１０９号","02 27904567"
"0095383","南港科学园区分行","台北市南港区园区街３号２楼之３","02 26558169"
"0095390","北投分行","台北市北投区大业路４５２巷６号１楼","02 28968585"
"0095456","新树分行","台北县新庄市新树路２６６－１号１楼","02 22086767"
"0095463","南势角分行","台北县中和市景新街３３８号","02 29492345"
"0095470","泰山分行","台北县泰山乡全兴路１１１号１楼","02 22970809"
"0095487","五股工业区分行","台北县新庄市五工五路３－１号","02 22993311"
"0095494","南新庄分行","台北县新庄市中正路６５７之１号","02 29066599"
"0095505","三重埔分行","台北县三重市重新路一段８９号","02 29733450"
"0095512","北三重埔分行","台北县三重市正义北路６８号１楼","02 29823111"
"0095529","新店分行","台北县新店市北新路一段１３５号","02 29141650"
"0095536","永和分行","台北县永和市永和路二段６９号","02 29243334"
"0095543","瑞芳分行","台北县瑞芳镇明灯路三段３８号","02 24972860"
"0095550","新庄分行","台北县新庄市新泰路１１９号","02 29937101"
"0095567","树林分行","台北县树林市中山路一段１３５号","02 26813621"
"0095574","板桥分行","台北县板桥市中山路一段２２号","02 29628161"
"0095581","三峡分行","台北县三峡镇文化路８９号","02 26711261"
"0095598","福和分行","台北县永和市福和路１３９号","02 29221171"
"0095609","光复分行","台北县板桥市中山路二段６２号","02 29619181"
"0095616","东三重分行","台北县三重市正义北路３０３号","02 29821101"
"0095623","北新分行","台北县新庄市宝强路９号１楼","02 29131071"
"0095630","南三重分行","台北县三重市中正南路８２∣８４号","02 29771234"
"0095647","中和分行","台北县中和市中和路１８２号","02 22492711"
"0095654","西三重分行","台北县三重市重阳路二段２２号","02 29820221"
"0095661","汐止分行","台北县汐止市中兴路９３号","02 26947878"
"0095678","双和分行","台北县中和市中正路８０１号","02 22259988"
"0095685","淡水分行","台北县淡水镇中山北路一段６７号","02 26219998"
"0095692","杨梅分行","桃园县杨梅镇大成路１５８号","03 4783391"
"0095703","桃园分行","桃园县桃园市中正路７３号","03 3346130"
"0095710","中坜分行","桃园县中坜市中正路９５号","03 4252101"
"0095727","新竹分行","新竹市中正路６３号","03 5253151"
"0095734","竹东分行","新竹县竹东镇长春路二段４３号","03 5962280"
"0095741","苗栗分行","苗栗县苗栗市中正路６３６号","037326455"
"0095758","新竹科学园区分行","新竹市工业东六路５号二楼","03 5770780"
"0095765","北中坜分行","桃园县中坜市忠孝路１５５号","03 4636688"
"0095772","八德分行","桃园县八德市介寿路二段１３５号","03 3711222"
"0095789","竹南分行","苗栗县竹南镇环市路２段１１０号１楼","037551751"
"0095796","南崁分行","桃园县芦竹乡南崁路二段５号","03 3213666"
"0095807","苑里分行","苗栗县苑里镇为公路３５号","037861501"
"0095814","大甲分行","台中县大甲镇顺天路４０５号","04 26878711"
"0095821","清水分行","台中县清水镇中山路１９６号","04 26225151"
"0095838","丰原分行","台中县丰原市中正路２２０号","04 25269191"
"0095845","东势分行","台中县东势镇丰势路４５６号","04 25877160"
"0095852","雾峰分行","台中县雾峰乡中正路９００号","04 23393567"
"0095869","南丰分行","台中县丰原市中山路２００号１楼","04 25261172"
"0095876","沙鹿分行","台中县沙鹿镇沙田路５２号","04 26358599"
"0095890","太平分行","台中县太平市永丰路８９号","04 22736789"
"0095901","草屯分行","南投县草屯镇和平街２３号","0492338101"
"0095918","南投分行","南投县南投市彰南路二段７２号","0492226171"
"0095925","埔里分行","南投县埔里镇西康路７３号","0492983983"
"0095932","水里坑分行","南投县水里乡民权路２２６号","0492772121"
"0095949","竹山分行","南投县竹山镇集山路３段４２５－１号１楼","0492643175"
"0095963","大肚分行","台中县大肚乡沙田路２段７８０号１楼","04 26983711"
"0095987","竹北分行","新竹县竹北市台元街２６－３号１楼","03 5526898"
"0096006","彰化分行","彰化县彰化市和平路５７号","04 7242101"
"0096013","鹿港分行","彰化县鹿港镇中山路１３７号","04 7773311"
"0096020","员林分行","彰化县员林镇中正路４９５号","04 8322101"
"0096037","溪湖分行","彰化县溪湖镇彰水路三段１５８号","04 8853471"
"0096044","北斗分行","彰化县北斗镇斗苑路一段１７２号","04 8882811"
"0096051","西螺分行","云林县西螺镇中山路２２５号","05 5863611"
"0096068","和美分行","彰化县和美镇道周路４２８号１楼","04 7579696"
"0096075","芬园分行","彰化县竹林村彰南路四段３３７号","0492520288"
"0096082","埔盐分行","彰化县埔盐乡好修村员鹿路二段７２号","048659901"
"0096099","芳苑分行","彰化县芳苑乡芳汉路王公段３１２－１号","04 8985301"
"0096100","斗六分行","云林县斗六镇中山路７０号","05 5324116"
"0096117","斗南分行","云林县斗南镇中山路１００号","05 5974191"
"0096124","虎尾分行","云林县虎尾镇中正路３５号","05 6322561"
"0096131","北港分行","云林县北港镇文化路５１号","05 7836121"
"0096204","大林分行","嘉义县大林镇祥和路２４６号","05 2653221"
"0096211","嘉义分行","嘉义市中山路３８６号","05 2278141"
"0096228","东嘉义分行","嘉义市新生路８３２号１楼","05 2276032"
"0096235","新营分行","台南县新营市复兴路１４６号","06 6323871"
"0096242","永康分行","台南县永康市中正南路８３９号","06 2545386"
"0096259","南科树谷分行","台南县新市乡中心路６号１楼","06 5893236"
"0096402","台南分行","台南市中正路８８号","06 2221280"
"0096419","延平分行","台南市民权路二段１５１号","06 2254161"
"0096426","西台南分行","台南市民族路三段９４号","06 2235141"
"0096433","东台南分行","台南市北门路一段９５∣１号","06 2267141"
"0096440","南台南分行","台南市西门路一段６５５号","06 2263180"
"0096457","安南分行","台南市安和路４段３３０号","06 3556111"
"0096506","旗山分行","高雄县旗山镇中山路１０２号","07 6615481"
"0096513","冈山分行","高雄县冈山镇冈山路２９３号","07 6216111"
"0096520","凤山分行","高雄县凤山市三民路２６４号","07 7470101"
"0098119","高雄分行","高雄市民权一路５９号","07 3361620"
"0098126","七贤分行","高雄市忠孝一路４５６号","07 2511191"
"0098133","盐埕分行","高雄市盐埕区大勇路８５号","07 5313181"
"0098140","东高雄分行","高雄市前镇区永丰路１３号","07 2217741"
"0098157","南高雄分行","高雄市前镇区永丰路１３号","07 7158000"
"0098164","北高雄分行","高雄市后昌路７２０号","07 3662566"
"0098171","三民分行","高雄市河北二路１５７号","07 2918131"
"0098195","前镇分行","高雄市三多三路１５５号","07 3344121"
"0098206","九如路分行","高雄市九如二路７号","07 3123101"
"0098213","新兴分行","高雄市中正二路１３９号","07 2222200"
"0098220","苓雅分行","高雄市四维四路２号","07 3353171"
"0098237","大顺分行","高雄市建国一路１０９号","07 7715101"
"0098244","博爱分行","高雄市博爱一路５１７号","07 5545151"
"0098300","屏东分行","屏东县屏东市中正路１１７∣２号","08 7342705"
"0098317","东港分行","屏东县东港镇中正路７４号","08 8351521"
"0098324","潮州分行","屏东县潮州镇中正路３８号","08 7883911"
"0098331","林边分行","屏东县林边乡仁和村中山路３０３号","08 8758006"
"0098348","车城分行","屏东县车城乡福兴村中山路１５号","08 8822655"
"0098404","花莲分行","花莲县花莲市中山路１９１号","03 8323961"
"0098508","台东分行","台东县台东市正气路２２６号","089324311"
"0099269","思源分行","台北县新庄市思源路２４５号","02 29967137"
"0099283","土城分行","台北县土城市中央路三段４５号","02 22691155"
"0099290","北桃园分行","桃园县桃园市永安路１８９号","03 3320743"
"0099301","新明分行","桃园县平镇市忠孝路２号","03 4941571"
"0099318","埔心分行","桃园县杨梅镇中兴路８２∣８６号","03 4824935"
"0099332","西屯分行","台中市台中港路三段１２１号","04 23593435"
"0099349","大发分行","高雄县大寮乡凤林三路５３９号","07 7824356"
"0099356","东林口分行","桃园县龟山乡复兴一路２３５号","03 3975555"
"0099523","土库分行","云林县土库镇中正路９６之２号","05 6621116"
"0099547","路竹分行","高雄县路竹乡中山路８３５号","07 6972151"
"0099554","苏澳分行","宜兰县苏澳镇中山路１２１号","03 9961116"
"0099561","北台南分行","台南市西门路四段３６７号","06 2523450"
"0099603","潭子分行","台中县潭子乡中山路２段１９９号","04 25322234"
"0099610","北嘉义分行","嘉义市友爱路２９０号","05 2342166"
"0099627","北新竹分行","新竹市东大路二段１１０号","03 5339651"
"0099634","建兴分行","高雄市建国二路１２３号","07 2358527"
"0099641","三和路分行","台北县三重市三和路四段３６８号","02 22871441"
"0099658","吉成分行","台北县新店市民权路９８号","02 22189001"
"0099689","林口分行","台北县林口乡林口路４６号","02 26010711"
"0099696","江翠分行","台北县板桥市文化路二段９号","02 22591001"
"0099714","长安东路分行","台北市长安东路一段２３之１号","02 25230739"
"0099721","晴光分行","台北市林森北路６０９号","02 25950551"
"0099738","大直分行","台北市北安路５８９号","02 25337861"
"0099752","松江分行","台北市松江路２６１号","02 25024923"
"0099790","西内湖分行","台北市瑞光路５１３巷２６号","02 27978966"
"0099801","南港分行","台北市南港路三段４８号","02 27833456"
"0099818","中港分行","台中市台中港路二段１∣１６号","04 23271717"
"0099832","芦洲分行","台北县芦洲市三民路２３号","02 22851000"
"0099849","中华路分行","台南县永康市小东路４７３号之３","06 2748801"
