"通汇金融代号","总单位名称","帐号长度","地址","电话"
"005","台湾土地银行","存款类12位\n放款类13位","台北市馆前路４６号","02 23483456"
"通汇金融代号","支单位名称","地址","电话"
"0050511","凤山分行","高雄县凤山市曹公路１５号","07 7460121"
"0050522","湖口分行","新竹县湖口乡中正路一段１０２号","03 5996111"
"0050533","苏澳分行","宜兰县苏澳镇太平路１７号","03 9961100"
"0050544","新兴分行","高雄市七贤一路４８０号","07 2355111"
"0050555","西台中分行","台中市西区五权路２∣４号","04 22289151"
"0050566","虎尾分行","云林县虎尾镇林森路一段４９０号","05 6327373"
"0050577","仁爱分行","台北市仁爱路三段２９号","02 27728282"
"0050588","忠孝分行","台北市复兴南路一段１２９号","02 27312393"
"0050599","中正分行","高雄市中正三路１５８号","07 2352156"
"0050614","新店分行","台北县新店市北新路一段３０９号","02 29151234"
"0050625","北台南分行","台南市公园路１２８之７号","06 2210071"
"0050636","松山分行","台北市敦化南路一段１号","02 25774558"
"0050647","内湖分行","台北市民权东路六段１５６号","02 27963800"
"0050658","三民分行","高雄市三民区建工路６４７号１楼","07 3861301"
"0050669","民雄分行","嘉义县民雄乡建国路三段２１６号","05 2200180"
"0050670","大社分行","高雄县大社乡中山路３６９号","07 3520779"
"0050692","前镇分行","高雄市前镇区一心一路２４１号","07 3329755"
"0050706","路竹分行","高雄县路竹乡中山路７５０号","07 6972131"
"0050717","五甲分行","高雄县凤山市五甲二硌２５６号","07 7715176"
"0050728","太平分行","台中县太平市中山路３段１３１号１楼","04 22780788"
"0050739","正滨分行","基隆市中正区中正路６５２号","02 24621111"
"0050740","敦化分行","台北市敦化南路二段７６号","02 27052987"
"0050762","芦洲分行","台北县芦洲市中山一路１００号","02 22859100"
"0050773","北台中分行","台中市大雅路４５号","04 22016902"
"0050784","苓雅分行","高雄市苓雅区忠孝二路１８号","07 3328477"
"0050795","信义分行","台北市基隆路一段４３６号","02 27585667"
"0050809","土城分行","台北县土城市中央路一段１２７号","02 22651000"
"0050810","淡水分行","台北县淡水镇中山北路一段４０号","02 26219691"
"0050821","草屯分行","南投县草屯镇中正路６０１之７号","0492330573"
"0050832","东台南分行","台南市东门路三段２６１号","06 2902789"
"0050843","通霄分行","苗栗县通霄镇中正路８５号","037756010"
"0050854","学甲分行","台南县学甲镇中正路３０３号","06 7832166"
"0050865","新庄分行","台北县新庄市思源路２２１号","02 29973321"
"0050876","双和分行","台北县中和市中山路二段１２０号","02 22425300"
"0050898","白河分行","台南县白河镇三民路３９５号","06 6855301"
"0050902","复兴分行","台北市民生东路三段１３２号","02 27199989"
"0050913","平镇分行","桃园县平镇市南丰路９８号","03 4699111"
"0050935","文山分行","台北市文山区景兴路２０６号","02 29336222"
"0050946","中港分行","台中市文心路三段４号","04 23166111"
"0050957","东板桥分行","台北县板桥市民族路２１２号","02 29633939"
"0050968","南崁分行","桃园县芦竹乡洛阳街１６号","03 3526556"
"0050979","建国分行","高雄市建国一路４５８号","07 2250011"
"0050980","树林分行","台北县树林市保安二街８２号","02 26845116"
"0050991","东台北分行","台北市松德路１０７号","02 27272588"
"0051002","西三重分行","台北县三重市重阳路一段８１号","02 29846969"
"0051013","南台中分行","台中市南区国光路８１号","04 22240323"
"0051024","长春分行","台北市长春路１５６号","02 25681988"
"0051035","东新竹分行","新竹市北大路２２号","03 5353998"
"0051046","新市分行","台南县新市乡复兴路１０号","06 5997373"
"0051057","博爱分行","高雄市博爱一路３３８号","07 3150301"
"0051068","中仑分行","台北市松山区东兴路２６号","02 27477070"
"0051079","华江分行","台北县板桥市文化路二段１８２巷１弄２号","02 22518599"
"0051080","竹北分行","新竹县竹北市县政九路１３０号１楼","03 5532231"
"0051091","安平分行","台南市安平区中华西路二段２３号１楼","06 2933555"
"0051105","嘉兴分行","嘉义市西区自由路２８号１－４楼","05 2810866"
"0051116","南新庄分行","台北县新庄市民安西路２４０号","02 22066080"
"0051127","三峡分行","台北县三峡镇民生街８３号","02 86711010"
"0051138","沙鹿分行","台中县沙鹿镇中山路４０７号１楼","04 26651717"
"0051149","南桃园分行","桃园县桃园市中山路８３５号","03 3786969"
"0051150","汐止分行","台北县汐止市大同路一段３０６之３号","02 26498577"
"0051161","万华分行","台北市西园路二段２０５号","02 23322778"
"0051172","小港分行","高雄市宏平路３３６号","07 8065606"
"0051183","新工分行","新竹县湖口乡中华路７６号","03 5981969"
"0051194","乌日分行","台中县乌日乡新兴路３２８号","04 23360311"
"0051208","西湖分行","台北市港墘路１８５号","02 26599888"
"0051219","八德分行","桃园县八德市介寿路一段７０２号","03 3667966"
"0051220","北屯分行","台中市北区文心路四段２３２号","04 22915678"
"0051231","大安分行","台北市大安路二段３７号","02 23256266"
"0051242","北中坜分行","桃园县中坜市环北路４００号","03 4250011"
"0051253","高树分行","屏东县高树乡高树村南兴路９９号","08 7963399"
"0051264","枋寮分行","屏东县枋寮乡隆山村隆山路１１１号","08 8781533"
"0051275","丰农分行","台中县丰原市中正路１２７号","04 25157388"
"0051286","金城分行","金门县金城镇民生路６号","08 2311981"
"0051297","光复分行","台北县板桥市三民路二段１４８号","02 89522345"
"0051301","左营分行","高雄市左营区博爱二路３６８号","07 5577898"
"0051312","北桃园分行","桃园县桃园市中正路１０７１号","03 3566199"
"0051323","东港分行","屏东县东港镇光复路２段２７号１至４楼","08 8332255"
"0051334","天母分行","台北市忠诚路二段１２２号","02 28767287"
"0051345","泰山分行","台北县泰山乡明志路三段１６８号","02 29018899"
"0051356","中科分行","台中县大雅乡秀山村中科路６号２楼之１","04 25658228"
"0051367","大园分行","桃园县大园乡中正东路５３号１楼","03 3850805"
"0051378","杨梅分行","桃园县杨梅镇大平街１０６号１楼","03 4881215"
"0051389","城中分行","台北市中正区怀宁街５３号１楼","02 23483456"
"0051404","城东分行","台北市中山北路二段４６号之２","02 25676268"
"0051415","松南分行","台北市信义区松山路１３０号","02 27631111"
"0051426","福兴分行","彰化县福兴乡彰鹿路７段３９９号１楼","04 7785566"
"0051437","林口分行","桃园县龟山乡文化二路１０９号１至３楼","03 3182128"
"0051448","西屯分行","台中市西屯区台中港路二段１２２之２０号","04 27087759"
"0051459","内坜分行","桃园县中坜市环中东路３３号１楼","03 4612666"
"0051460","竹南分行","苗栗县竹南镇中正路６２号１楼","037551022"
"0051471","安南分行","台南市安南区海佃路三段４７号１楼","06 2568669"
"0051482","东湖分行","台北市内湖区成功路五段４６０号１楼","02 26317890"
"0051493","大树分行","高雄县大树乡檨脚村中正一路３７５号１楼","07 6523662"
"0051507","大里分行","台中县大里市国光路２段４０５号１楼","04 24061679"
"0051518","大湾分行","台南县永康市永大路二段１０６２号１楼","06 2071200"
"0051529","潮荣分行","屏东县潮州镇中山路１１７号","08 7898787"
"0051530","大发分行","高雄县大寮乡中兴村凤林四路２７２号１楼","07 7869169"
"0051552","南门简易型分行","台北市中正区罗斯福路一段４号","02 23958144"
"0051563","工研院分行","新竹县竹东镇中兴路四段１９５号","03 5910188"
"0051574","北三重分行","台北县三重市重阳路四段９９号","02 89821919"
"0051585","圆通分行","台北县中和市连城路１９２号","02 22497071"
"0051611","南屯分行","台中市南屯区文心南路６５号１楼","04 24723568"
