"通汇金融代号","总单位名称","帐号长度","地址","电话"
"803","联邦商业银行","存款类12位\n电子商务缴款类14位","台北市承德路一段１０５号","02 25568500"
"通汇金融代号","支单位名称","地址","电话"
"8030434","微风简易型分行","台北市复兴南路一段３９号","02 87722858"
"8030445","长春分行","台北市长春路３２８号","02 25455588"
"8030456","松江分行","台北市松江路２２８号","02 25616601"
"8030467","大安分行","台北市敦化南路二段１４号","02 27049588"
"8030478","永吉分行","台北市永吉路３０６号","02 27480329"
"8030489","文林简易型分行","台北市士林区文林路７５８号","02 28351818"
"8030490","东门分行","台北市信义路二段１０１号","02 23582345"
"8030504","敦化分行","台北市敦化南路一段２０９之１号","02 87733588"
"8030515","西湖分行","台北市内湖路一段８８号","02 87971537"
"8030526","北投分行","台北市中央北路一段６８号","02 28966333"
"8030537","北三重分行","台北县三重市正义北路２４５号","02 29826226"
"8030548","后埔分行","台北县板桥市重庆路７７号","02 29642777"
"8030559","北中和简易型分行","台北县中和市中山路三段１２２号","02 22219698"
"8030560","富国分行","台北县新庄市富国路１０８号","02 22052299"
"8030571","树林分行","台北县树林市中华路２７５号１楼","02 86858939"
"8030582","汐止分行","台北县汐止市新台五路一段１５９号","02 86425289"
"8030593","北桃园分行","桃园县桃园市永安路１９１号","03 3396262"
"8030607","北中坜分行","桃园县中坜市元化路２２２∣２２４号","03 4261133"
"8030618","北台中分行","台中市文心路三段１３号","04 23118555"
"8030629","民权分行","台中市民权路１３５号","04 22206789"
"8030630","西屯分行","台中市西屯路二段２７７号","04 27022152"
"8030641","兴中分行","台中市复兴路一段４０６号","04 22614040"
"8030652","北屯分行","台中市文心路四段７０１号","04 22452636"
"8030663","南员林分行","彰化县员林镇三民街３７号","04 8326388"
"8030674","东嘉义分行","嘉义市公明路３７２之１号","05 2293922"
"8030685","府城分行","台南市中正路９２号","06 2290866"
"8030696","丰原分行","台中县丰原市府前街１０２号","04 25228800"
"8030700","富强分行","台南市东门路三段１５号","06 2601268"
"8030711","开元分行","台南市开元路２２９号","06 2354445"
"8030722","南台南分行","台南市金华路一段３７９号１楼","06 2655663"
"8030733","苓雅分行","高雄市四维四路３０号","07 3386033"
"8030744","北高雄分行","高雄市九如二路５４８号","07 3223699"
"8030755","三民分行","高雄市三民区九如一路７３号１楼","07 3890258"
"8030766","五甲分行","高雄县凤山市南华路１７３号","07 7215866"
"8030777","屏东分行","屏东县屏东市民族路１７２号","08 7326777"
"8030788","和平分行","台北市大安区和平东路３段６８－２号","02 27352828"
"8030799","永春分行","台北市信义区忠孝东路５段４５３号","02 27480188"
"8030803","田心分行","台北县三重市忠孝路３段１６号","02 89821155"
"8030814","安康分行","台北县新店市安康路二段１６１号","02 22119088"
"8030825","大竹分行","桃园县芦竹乡大新路４３号","03 3134688"
"8030836","龟山分行","桃园县龟山乡万寿路２段６８８号","03 3192323"
"8030847","林口分行","台北县林口乡忠孝路４６８号","02 26006969"
"8030858","五股分行","台北县五股乡成泰路３段６－１号","02 22915888"
"8030869","高荣分行","桃园县中坜市民族路５段２２６号","03 4909777"
"8030870","大业分行","桃园县桃园市大业路一段３８８号","03 3577388"
"8030881","芦竹分行","桃园县芦竹乡仁爱路一段３号","03 2221389"
"8030892","土城分行","台北县土城市承天路３号","02 22681799"
"8030906","南桃园分行","桃园县桃园市中山路１３０８号Ａ栋１、２楼","03 3697388"
